service_date,origin_hub_id,destination_hub_id,final_service_units
01-03-2023,45,46,2838
01-03-2023,46,45,2298
01-03-2023,45,47,2720
01-03-2023,47,45,2580
01-03-2023,46,9,4185
01-03-2023,9,46,3273
01-03-2023,46,48,4959
01-03-2023,48,46,3378
01-03-2023,45,9,2769
01-03-2023,9,45,2187
01-03-2023,47,5,1872
01-03-2023,5,47,1332
01-03-2023,46,44,1640
01-03-2023,46,35,2588
01-03-2023,45,28,1040
01-03-2023,35,46,1228
01-03-2023,44,46,1060
01-03-2023,2,40,1436
01-03-2023,11,36,1288
01-03-2023,19,32,1304
01-03-2023,36,11,1996
01-03-2023,28,45,840
01-03-2023,2,30,1976
01-03-2023,40,2,1328
01-03-2023,30,2,1608
01-03-2023,32,19,1008
01-03-2023,12,36,1128
01-03-2023,47,43,1272
01-03-2023,13,23,1356
01-03-2023,36,7,832
01-03-2023,43,47,1028
01-03-2023,7,36,680
01-03-2023,36,12,972
01-03-2023,46,18,1648
01-03-2023,18,46,1240
01-03-2023,45,48,1576
01-03-2023,45,42,884
01-03-2023,23,25,884
01-03-2023,48,45,880
01-03-2023,42,45,968
01-03-2023,2,47,1485
01-03-2023,3,45,1316
01-03-2023,46,15,1344
01-03-2023,45,34,785
01-03-2023,47,2,1185
01-03-2023,34,45,725
01-03-2023,47,28,1465
01-03-2023,45,3,1176
01-03-2023,47,46,1285
01-03-2023,2,16,1395
01-03-2023,25,23,564
01-03-2023,46,26,1355
01-03-2023,36,27,1432
01-03-2023,16,2,980
01-03-2023,23,13,1415
01-03-2023,2,31,1920
01-03-2023,26,46,1120
01-03-2023,31,2,1552
01-03-2023,15,46,1104
01-03-2023,30,14,1196
01-03-2023,2,19,1545
01-03-2023,28,47,1155
01-03-2023,47,3,1040
01-03-2023,45,5,1170
01-03-2023,36,37,189
01-03-2023,46,47,1510
01-03-2023,5,45,1205
01-03-2023,46,20,1110
01-03-2023,3,47,1155
01-03-2023,20,46,1220
01-03-2023,19,2,1075
01-03-2023,27,36,1275
01-03-2023,14,30,1490
01-03-2023,45,39,1084
01-03-2023,39,45,812
01-03-2023,36,41,2252
01-03-2023,2,21,1055
01-03-2023,8,47,910
01-03-2023,47,6,1140
01-03-2023,41,36,1832
01-03-2023,2,1,910
01-03-2023,37,36,96
01-03-2023,47,30,1720
01-03-2023,47,8,1125
01-03-2023,22,36,875
01-03-2023,6,47,1080
01-03-2023,46,33,1045
01-03-2023,45,44,1175
01-03-2023,33,46,595
01-03-2023,21,2,920
01-03-2023,36,22,680
01-03-2023,2,14,1090
01-03-2023,1,2,1115
01-03-2023,17,23,1050
01-03-2023,4,29,970
01-03-2023,2,24,935
01-03-2023,44,45,770
01-03-2023,47,10,895
01-03-2023,38,36,785
01-03-2023,19,30,1065
02-03-2023,45,46,3392
02-03-2023,46,45,2376
02-03-2023,45,47,2996
02-03-2023,47,45,2682
02-03-2023,46,9,5148
02-03-2023,9,46,3132
02-03-2023,46,48,6078
02-03-2023,48,46,3429
02-03-2023,45,9,3000
02-03-2023,9,45,1854
02-03-2023,47,5,1980
02-03-2023,5,47,1368
02-03-2023,46,44,2344
02-03-2023,46,35,3356
02-03-2023,45,28,1404
02-03-2023,35,46,1304
02-03-2023,44,46,1000
02-03-2023,2,40,1832
02-03-2023,11,36,1544
02-03-2023,19,32,1796
02-03-2023,36,11,2288
02-03-2023,28,45,744
02-03-2023,2,30,1980
02-03-2023,40,2,1288
02-03-2023,30,2,1368
02-03-2023,32,19,1008
02-03-2023,12,36,1284
02-03-2023,47,43,1572
02-03-2023,13,23,1332
02-03-2023,36,7,948
02-03-2023,43,47,956
02-03-2023,7,36,700
02-03-2023,36,12,1060
02-03-2023,46,18,1712
02-03-2023,18,46,1284
02-03-2023,45,48,1952
02-03-2023,45,42,1464
02-03-2023,23,25,708
02-03-2023,48,45,1352
02-03-2023,42,45,1112
02-03-2023,2,47,1265
02-03-2023,3,45,1192
02-03-2023,46,15,1552
02-03-2023,45,34,1135
02-03-2023,47,2,1645
02-03-2023,34,45,775
02-03-2023,47,28,1245
02-03-2023,45,3,1656
02-03-2023,47,46,1335
02-03-2023,2,16,1155
02-03-2023,25,23,660
02-03-2023,46,26,1470
02-03-2023,36,27,1708
02-03-2023,16,2,1160
02-03-2023,23,13,1330
02-03-2023,2,31,1900
02-03-2023,26,46,1490
02-03-2023,31,2,1456
02-03-2023,15,46,948
02-03-2023,30,14,1512
02-03-2023,2,19,1855
02-03-2023,28,47,1015
02-03-2023,47,3,1085
02-03-2023,45,5,1390
02-03-2023,36,37,270
02-03-2023,46,47,1275
02-03-2023,5,45,905
02-03-2023,46,20,1735
02-03-2023,3,47,1050
02-03-2023,20,46,1185
02-03-2023,19,2,1070
02-03-2023,27,36,1010
02-03-2023,14,30,1480
02-03-2023,45,39,1920
02-03-2023,39,45,952
02-03-2023,36,41,2076
02-03-2023,2,21,1085
02-03-2023,8,47,850
02-03-2023,47,6,1120
02-03-2023,41,36,1824
02-03-2023,2,1,1515
02-03-2023,37,36,60
02-03-2023,47,30,1800
02-03-2023,47,8,1135
02-03-2023,22,36,825
02-03-2023,6,47,875
02-03-2023,46,33,1120
02-03-2023,45,44,1315
02-03-2023,33,46,620
02-03-2023,21,2,1015
02-03-2023,36,22,870
02-03-2023,2,14,1120
02-03-2023,1,2,1040
02-03-2023,17,23,970
02-03-2023,4,29,725
02-03-2023,2,24,1180
02-03-2023,44,45,760
02-03-2023,47,10,830
02-03-2023,38,36,760
02-03-2023,19,30,1220
03-03-2023,45,46,3808
03-03-2023,46,45,3178
03-03-2023,45,47,4128
03-03-2023,47,45,3318
03-03-2023,46,9,6366
03-03-2023,9,46,4587
03-03-2023,46,48,5973
03-03-2023,48,46,4827
03-03-2023,45,9,3345
03-03-2023,9,45,2886
03-03-2023,47,5,2898
03-03-2023,5,47,1386
03-03-2023,46,44,2716
03-03-2023,46,35,3556
03-03-2023,45,28,2856
03-03-2023,35,46,2168
03-03-2023,44,46,1952
03-03-2023,2,40,3192
03-03-2023,11,36,1744
03-03-2023,19,32,2076
03-03-2023,36,11,3612
03-03-2023,28,45,700
03-03-2023,2,30,3432
03-03-2023,40,2,2004
03-03-2023,30,2,2404
03-03-2023,32,19,1036
03-03-2023,12,36,1956
03-03-2023,47,43,2652
03-03-2023,13,23,2064
03-03-2023,36,7,1492
03-03-2023,43,47,1232
03-03-2023,7,36,1312
03-03-2023,36,12,2108
03-03-2023,46,18,2148
03-03-2023,18,46,1776
03-03-2023,45,48,1828
03-03-2023,45,42,2220
03-03-2023,23,25,1976
03-03-2023,48,45,1928
03-03-2023,42,45,1224
03-03-2023,2,47,2280
03-03-2023,3,45,1004
03-03-2023,46,15,1932
03-03-2023,45,34,2075
03-03-2023,47,2,1790
03-03-2023,34,45,925
03-03-2023,47,28,1935
03-03-2023,45,3,1736
03-03-2023,47,46,1640
03-03-2023,2,16,2075
03-03-2023,25,23,828
03-03-2023,46,26,1620
03-03-2023,36,27,2580
03-03-2023,16,2,1280
03-03-2023,23,13,2325
03-03-2023,2,31,4044
03-03-2023,26,46,1760
03-03-2023,31,2,1504
03-03-2023,15,46,848
03-03-2023,30,14,2140
03-03-2023,2,19,2550
03-03-2023,28,47,1030
03-03-2023,47,3,1795
03-03-2023,45,5,2585
03-03-2023,36,37,438
03-03-2023,46,47,1745
03-03-2023,5,45,1120
03-03-2023,46,20,1590
03-03-2023,3,47,805
03-03-2023,20,46,1440
03-03-2023,19,2,1460
03-03-2023,27,36,840
03-03-2023,14,30,1250
03-03-2023,45,39,2200
03-03-2023,39,45,1236
03-03-2023,36,41,2716
03-03-2023,2,21,1740
